@Αἰγίλιψ|n268
τηλέμαχος|n8881
τηλέπυλος|n8883
τηλίκος|n8886
τηλεδαπός|n8877
τηλεθάων|n8878
τηλεκλειτός|n8879
τηλεκλυτός|n8880
τηλεφίδης|n8885
τηλεφανής|n8884
τηλοτάτω|n8890
τηλοῦ|n8891
τηλόθεν|n8887
τηλόθι|n8888
τηλόσε|n8889
τηλύγετος|n8892
τηρείη|n8895
τηύγετον|n8896
τηύσιος|n8897
τιθήνη|n8902
τιθαιβώσσω|n8900
τιθωνός|n8904
τιμάω|n8907
τιμή|n8908
τιμήεις|n8909
τινάσσω|n8911
τιταίνω|n8919
τιταρήσιος|n8921
τιτρώσκω|n8924
τιτυός|n8925
τιτύσκομαι|n8926
τιτῆνες|n8922
τιω|n8928
τλήμων|n8929
τληπόλεμος|n8931
τλητός|n8932
τλῆναι|n8930
τμήγω|n8933
τμήδην|n8934
τμῶλος|n8935
τοί1|@
τοί2|@
τοί|@
τοίγαρ|n8939
τοίσδεσι|n8943
τοιοῦτος|n8942
τοιόσδε|n8941
τοκάς|n8945
τοκεύς|n8946
τολμάω|n8948
τολμήεις|n8949
τολυπεύω|n8950
τομή|n8951
τοξάζομαι|n8952
τοξευτής|n8953
τοξεύω|n8954
τοξοσύνη|n8956
τοξοφόρος|n8958
τοξότης|n8957
τοπρόσθεν|n8960
τοπρῶτον|n8961
τορέω|n8962
τορνόω|n8963
τοσοῦτος|n8966
τοσσάκι|n8967
τοσόσδε|n8965
τοτέ2|n8970
τοτέ|n8970
τοὔνεκα|n8972
τοὔνομα|n8973
τοῖος|n8940
τοῖχος|n8944
τοῦ|n8971
τράγος|n8975
τράπεζα|n8976
τρέμω|n8983
τρέπω|n8984
τρέφω|n8985
τρέχω|n8986
τρέω|n8987
τρήρων|n8988
τρίαινα|n8993
τρίβω|n8994
τρίγληνος|n8995
τρίετες|n8997
τρίζω|n8998
τρίκη|n9001
τρίλλιστος|n9002
τρίπλαξ|n9003
τρίπολος|n9005
τρίπος|n9006
τρίπτυχος|n9007
τρίς|n9008
τρίστοιχος|n9012
τρίτατος|n9014
τρίτος|n9016
τρίχα|n9017
τρίχες|n9019
τραπέω|n8979
τραπείομεν|n8978
τραπεζεύς|n8977
τραφέμεν|n8980
τραφερός|n8981
τρεῖς|n8982
τρητός|n8989
τρηχίς|n8990
τρηχύς|n8992
τριήκοντα|n8999
τριγλώχιν|n8996
τριηκόσιοι|n9000
τριπλῇ|n9004
τρισκαίδεκα|n9009
τρισκαιδέκατος|n9010
τριστοιχί|n9011
τρισχίλιοι|n9013
τριτογένεια|n9015
τριχάικες|n9018
τριχθά|n9020
τροίζηνος|n9022
τροίη|n9023
τροίηθε|n9024
τροίηνδε|n9025
τροιζήν|n9021
τρομέω|n9026
τροπέω|n9028
τροπή|n9029
τροπός|n9031
τροφέοντο|n9032
τροφόεις|n9034
τροφός|n9035
τροχάω|n9036
τροχός1|n9037
τροχός|n9037
τρυγάω|n9038
τρυπάω|n9041
τρυφάλεια|n9042
τρωιάς|n9048
τρωικός|n9049
τρωπάω|n9054
τρωτός|n9056
τρωχάω|n9057
τρόμος|n9027
τρόπις|n9030
τρόφις|n9033
τρύζω|n9039
τρύπανον|n9040
τρύφος|n9043
τρύχω|n9044
τρώγω|n9046
τρώιλος|n9050
τρώιος|n9051
τρώκτης|n9052
τρώς|n9055
τρώω|n9058
τρῆχος|n8991
τρῳαί|n9045
τρῳός|n9053
τρῶες|n9047
τυγχάνω|n9059
τυδείδης|n9060
τυδεύς|n9061
τυκτός|n9062
τυμβοχοέω|n9064
τυμβοχόη|n9065
τυνδάρεος|n9066
τυπή|n9068
τυρός|n9070
τυρώ|n9071
τυτθός|n9072
τυφλός|n9073
τυφωεύς|n9074
τυχήσας|n9075
τυχίος|n9076
τόθι|n8936
τόκος|n8947
τόξον|n8955
τόπριν|n8959
τόσος|n8964
τόσσος|n8968
τότε1|n8969
τότε|n8969
τόφρα|n8974
τύμβος|n9063
τύνη|n9067
τύπτω|n9069
τώς|n9078
τἄλλα|n8698
τὶς2|n8917
τὶς|n8917
τῆ|n8869
τῆθος|n8872
τῆλε|n8876
τῆμος|n8893
τῇ|n8870
τῇδε|n8871
τῇπερ|n8894
τῖρυνς|n8915
τῷ|n9077
υἱωνός|n9098
υἱός|n9097
φάανθεν|n9327
φάγον|n9329
φάε|n9330
φάεα|n9331
φάλαγξ|n9350
φάλαρ|n9351
φάλκης|n9353
φάλος|n9354
φάν|n9355
φάνεν|n9356
φάος|n9357
φάρμακον|n9360
φάρος|n9363
φάρυγξ|n9364
φάσγανον|n9365
φάσθαι|n9366
φάσκω|n9367
φάτις|n9369
φάτνη|n9370
φέβομαι|n9373
φένεος|n9382
φέρεκλος|n9384
φέρης|n9385
φέριστος|n9386
φέρουσα|n9387
φέρτατος|n9388
φέρτε|n9390
φέρτερος|n9389
φέρτρον|n9391
φέρω|n9392
φή2|n9395
φή|n9395
φήγινος|n9397
φήμη|n9399
φήμιος|n9401
φήναι|n9404
φήνη|n9405
φήρ|n9406
φίλος|n9442
φίλτατος|n9447
φίλως|n9448
φαάντατος|n9328
φαέθουσα|n9332
φαέθων|@
φαίαξ|n9338
φαίδιμος|@
φαίδρη|n9342
φαίηκες|n9343
φαίνω|n9346
φαείνω|n9336
φαεινός|n9335
φαεσίμβροτος|n9337
φαιδιμόεις|n9339
φαινέσκετο|n9344
φαιστός2|n9348
φαιστός|n9348
φαλαγγηδόν|n9349
φαληριάω|n9352
φαρέτρη|n9358
φαρμάσσω|n9361
φασσοφόνος|n9368
φαυσιάδης|n9371
φαῖνοψ|n9345
φαῖστος1|n9347
φαῖστος|n9347
φείδας|n9375
φείδιππος|n9376
φείδομαι|n9377
φείδων|n9380
φεαί|n9372
φειά|n9374
φειδωλή|n9379
φειδώ|n9378
φεν|n9381
φεραί|n9383
φεύγω|n9393
φηγεύς|n9396
φηγός|n9398
φημί|n9400
φηραί|n9407
φηρητιάδης|n9408
φθάν|n9410
φθάνω|n9411
φθέγγομαι|n9412
φθέωμεν|n9415
φθίη|n9417
φθίμενος|n9418
φθίνω|n9420
φθείρω|n9413
φθειρῶν|n9414
φθινύθω|n9419
φθισήνωρ|n9422
φθισίμβροτος|n9423
φθογγή|n9424
φθονέω|n9426
φθόγγος|n9425
φθῆ|n9416
φθῖος|n9421
φι|n9427
φιάλη|n9428
φιλέω|n9430
φιλήρετμος|n9431
φιλητορίδης|n9432
φιλοίτιος|n9433
φιλοκέρτομος|n9434
φιλοκτήτης|n9436
φιλοκτεανώτατος|n9435
φιλομηλείδης|n9438
φιλομμείδης|n9437
φιλοπαίγμων|n9440
φιλοπτόλεμος|n9441
φιλοτήσιος|n9444
φιλοφροσύνη|n9445
φιλοψευδής|n9446
φιλόξεινος|n9439
φιλότης|n9443
φιν|n9449
φιτρός|n9450
φλέγμα|n9452
φλέγυαι|n9453
φλέγω|n9454
φλέψ|n9455
φλεγέθω|n9451
φλιή|n9456
φλοιός|n9458
φλοῖσβος|n9459
φλόγεος|n9457
φλόξ|n9460
φλύω|n9461
φοίνικες|n9466
φοίνιος|n9471
φοίνισσα|n9472
φοβέω|n9462
φοινήεις|n9465
φοινικοπάρῃος|n9468
φοινικόεις|n9467
φοινός|n9473
φοιτάω|n9474
φολκός|n9475
φονή|n9477
φονεύς|n9476
φοξός|n9479
φορέω|n9483
φορήμεναι|n9484
φορβή|n9481
φορεύς|n9482
φορμίζω|n9488
φορτίς|n9489
φορύνω|n9491
φορύσσω|n9492
φοῖβος|n9464
φοῖνιξ|@
φράδμων|n9495
φράζω|n9496
φράσσω|n9497
φρήν|n9499
φρήτρη|n9500
φρίξ|n9501
φρίσσω|n9502
φραδής|n9494
φρεῖαρ|n9498
φρονέω|n9503
φρυγίη|n9509
φρόνιος|n9504
φρόνις|n9505
φρόντις1|@
φρόντις2|@
φρόντις|@
φρύγες|n9508
φυή|n9516
φυγή|n9512
φυγοπτόλεμος|n9513
φυζακινός|n9515
φυκιόεις|n9517
φυκτός|n9519
φυλάκη|n9521
φυλάσσω|n9527
φυλίη|n9530
φυλακή|n9520
φυλακίδης|n9522
φυλακτήρ|n9525
φυλείδης|n9528
φυλεύς|n9529
φυλομέδουσα|n9532
φυλώ|n9535
φυσάω|n9541
φυσίζοος|n9543
φυσιάω|n9542
φυταλίη|n9545
φυτεύω|n9546
φυτόν|n9547
φωκεῖς|n9549
φωνέω|n9551
φωνή|n9552
φωριαμός|n9553
φόβος|n9463
φόνος|n9478
φόρβας|n9480
φόρκυνος|n9485
φόρκυς|n9486
φόρμιγξ|n9487
φόρτος|n9490
φόως|n9493
φύγαδ|n9511
φύζα|n9514
φύλακος|@
φύλας|n9526
φύλλον|n9531
φύλοπις|n9534
φύξηλις|n9536
φύξιμος|n9537
φύξις|n9538
φύρω|n9539
φύσις|n9544
φύω|n9548
φώκη|n9550
φώς2|n9555
φώς|n9555
φᾶρις|n9359
φᾶρος|n9362
φῄς|n9409
φῆ1|n9394
φῆ|n9394
φῆμις|n9402
φῆν|n9403
φῖλαι|n9429
φῦ|n9510
φῦκος|n9518
φῦλον|n9533
φῦσα|n9540
φῶς1|n9554
φῶς|n9554
χάδε|n9556
χάζομαι|n9557
χάλαζα|n9561
χάλκεος|n9571
χάλκων|n9590
χάνοι|n9598
χάρις|@
χάρμα|n9605
χάρμη1|n9606
χάρμη|n9606
χάροπος|n9608
χάροψ|n9609
χάρυβδις|n9610
χάσκω|n9611
χέραδος|n9627
χέρειον|n9628
χέρης|n9631
χέρνιβον|n9634
χέρνιψ|n9636
χέρσονδε|n9638
χέρσος|n9639
χέω|n9642
χήν|n9645
χήρατο|n9647
χήρη|n9649
χίλιοι|n9656
χίμαιρα|@
χίος|n9659
χαίνω|n9558
χαίρω|n9559
χαίτη|n9560
χαλέπτω|n9564
χαλίφρων|n9569
χαλεπαίνω|n9562
χαλεπός|n9563
χαλεπῶς|n9565
χαλινός|n9566
χαλιφρονέω|n9567
χαλιφροσύνη|n9568
χαλκήιος|n9576
χαλκήρης|n9577
χαλκίς|@
χαλκεοθώρηξ|n9570
χαλκεόφωνος|n9572
χαλκεύς|n9573
χαλκεύω|n9574
χαλκεών|n9575
χαλκοβαρής|n9580
χαλκογλώχιν|n9581
χαλκοκνήμις|n9582
χαλκοκορυστής|n9583
χαλκοπάρῃος|n9584
χαλκοχίτων|n9588
χαλκωδοντιάδης|n9589
χαλκόπος|n9585
χαλκός|n9586
χαλκότυπος|n9587
χαμάδις|n9591
χαμαί|n9593
χαμαιευνάς|n9595
χαμαιευνής|n9594
χαμᾶζε|n9592
χανδάνω|n9596
χανδόν|n9597
χαράδρη|n9599
χαρίεις|n9601
χαρίζομαι|n9602
χαρείη|n9600
χαροπός|n9607
χατέω|n9612
χατίζω|n9613
χείρ|n9620
χείρων|@
χείσομαι|n9625
χειή|n9614
χειμάρροος|n9617
χειμέριος|n9618
χειμών|n9619
χειρίς|n9621
χειρότερος|n9622
χελιδών|n9626
χερείων|n9630
χερειότερος|n9629
χερμάδιον|n9632
χερνίπτομαι|n9635
χερνῆτις|n9633
χερσιδάμας|n9637
χεῖλος|n9615
χεῖμα|n9616
χεῦαι|n9640
χεῦμα|n9641
χηλός|n9643
χηραμός|n9646
χηρεύω|n9648
χηρωστής|n9651
χηρόω|n9650
χθαμαλός|n9653
χθιζός|n9654
χθών|n9655
χιτών|n9660
χιών|n9661
χλαῖνα|n9662
χλούνης|n9663
χλωρηίς|n9664
χλωρός|n9666
χλῶρις|n9665
χνόος|n9667
χοή|n9669
χοίρεος|n9671
χολάς|n9673
χολωτός|n9676
χολόω|n9675
χορδή|n9677
χοροιτυπίη|n9678
χορός|n9679
χοῖνιξ|n9670
χοῖρος|n9672
χράομαι|n9682
χράω1|@
χράω2|@
χράω|@
χρέος|n9691
χρή|n9694
χρίμπτω|n9697
χρίω|n9698
χραισμέω|n9681
χραύω|n9683
χρείων|n9687
χρείως|n9689
χρειώ|n9688
χρεμετίζω|n9690
χρεώ|n9692
χρεώμενος|n9693
χρεῖος1|n9686
χρεῖος|n9686
χρηίζω|n9695
χροιή|n9699
χροόσ|n9705
χρυσάμπυξ|n9706
χρυσάορος|n9707
χρυσήνιος|n9712
χρυσηίς|n9710
χρυσηλάκατος|n9711
χρυσοπέδιλος|n9716
χρυσοχόος|n9720
χρυσόθεμις|n9714
χρυσόθρονος|n9715
χρυσόπτερος|n9717
χρυσόρραπις|n9718
χρυσός|n9719
χρόμαδος|n9700
χρόμιος|n9701
χρόμις|n9702
χρόνιος|n9703
χρόνος|n9704
χρύσεος|n9708
χρύση|n9709
χρύσης|n9713
χρώς|n9721
χρῆμα|n9696
χυμένη|n9722
χυτλόω|n9724
χυτός|n9725
χωλεύω|n9726
χωλός|n9727
χωρέω|n9729
χωρίς|n9731
χόανος|n9668
χόλος|n9674
χόρτος|n9680
χύσις|n9723
χώομαι|n9728
χώρη|n9730
χἡμεῖς|n9644
χῆτος|n9652
χῶρος1|n9732
χῶρος|n9732
ψάμαθος|n9733
ψάμμος|n9734
ψάρ|n9735
ψαύω|n9736
ψεδνός|n9737
ψευδάγγελος|n9738
ψευδής|n9739
ψευστέω|n9742
ψεύδομαι|n9741
ψεύστης|n9743
ψεῦδος|n9740
ψηλαφάω|n9744
ψηφίς|n9746
ψιάς|n9747
ψιλός|n9748
ψολόεις|n9749
ψυρίη|n9750
ψυχή|n9751
ψυχρός|n9753
ψωμός|n9755
ψύχω|n9754
ψῆρας|n9745
ψῦχος|n9752
ωὑτός|n9818
ἀάατος|n2
ἀάσχετος|n5
ἀάω|n6
ἀέθλιον|n182
ἀέκητι|n196
ἀέκων|n197
ἀέξω|n204
ἀήρ|n221
ἀήσυλος|n222
ἀήτης|n223
ἀίδηλος|n281
ἀίδης|n282
ἀίζηλος|n293
ἀίξασκον|n339
ἀίσθω|n361
ἀίσσω|n364
ἀίω1|@
ἀίω2|@
ἀίω|@
ἀαγής|n3
ἀβακέω|n7
ἀβαρβαρέη|n9
ἀβλής|n13
ἀβληχρός|n15
ἀβροτάζω|n17
ἀγάασθαι|n21
ἀγάζομαι|n23
ἀγάθων|n25
ἀγάλλομαι|n31
ἀγάννιφος|n39
ἀγάομαι|n43
ἀγάρροος|n49
ἀγάστονος|n51
ἀγάστροφος|n52
ἀγέλαος|n63
ἀγέλη|n65
ἀγέμεν|n67
ἀγέραστος|n69
ἀγέρωχος|n70
ἀγήνωρ|@
ἀγήραος|n76
ἀγα|n20
ἀγαίομαι|n26
ἀγαγεῖν|n22
ἀγαθός|n24
ἀγακλέης|n28
ἀγακλεής|n27
ἀγακλειτός|n29
ἀγακλυτός|n30
ἀγαμέμνων|n36
ἀγαμήδη|n37
ἀγαμεμνονέη|n34
ἀγαμεμνονίδης|n35
ἀγανοφροσύνη|n41
ἀγανός|n40
ἀγανόφρων|n42
ἀγαπάζω|n44
ἀγαπάω|n45
ἀγαπήνωρ|@
ἀγαπητός|n48
ἀγασθένης|n50
ἀγαυός|n54
ἀγαύη|n53
ἀγγέλλω|n57
ἀγγελίη|n55
ἀγγελίης|n56
ἀγείρω|n61
ἀγελαῖος|n62
ἀγελείη|n64
ἀγεληδόν|n66
ἀγηγέραθ̓|n72
ἀγηνορίη|n73
ἀγητός|n77
ἀγινέω|n78
ἀγκάζομαι|n79
ἀγκάς|n82
ἀγκαλίς|n81
ἀγκαῖος|n80
ἀγκλίνας|n84
ἀγκοίνη|n85
ἀγκρεμάσασα|n87
ἀγκυλομήτης|n88
ἀγκυλοχείλης|n91
ἀγκυλότοξος|n90
ἀγκύλος|n89
ἀγκών|n92
ἀγλαίζομαι|n93
ἀγλαίη|@
ἀγλαόκαρπος|n96
ἀγλαός|n97
ἀγνοέω|n98
ἀγνώς|n101
ἀγνώσασκε|n102
ἀγξηράνη|n104
ἀγοράομαι|n106
ἀγορή|n108
ἀγορήνδε|n110
ἀγορήτης|n111
ἀγορεύω|n107
ἀγορητύς|n112
ἀγορῆθεν|n109
ἀγοστός|n114
ἀγριόφωνος|n120
ἀγροιώτης|n122
ἀγρονόμος|n125
ἀγρόθεν|n121
ἀγρόμενος|n123
ἀγρόνδε|n124
ἀγρός|n126
ἀγρότερος|n127
ἀγρότης|n128
ἀγρώσσω|n129
ἀγυρτάζω|n133
ἀγχέμαχος|n134
ἀγχίαλος|@
ἀγχίθεος|n139
ἀγχίμολος|n141
ἀγχίνοος|n142
ἀγχίσης|n143
ἀγχιβαθής|n138
ἀγχιμαχητής|n140
ἀγχισιάδης|n144
ἀγχιστῖνος|n146
ἀγχοῦ|n149
ἀγχόθι|n148
ἀγός|n113
ἀγών|n152
ἀδάκρυτος|n155
ἀδάμαστος|n157
ἀδέψητος|n164
ἀδέω|n165
ἀδήριτος|n167
ἀδαημονίη|n153
ἀδδεές|n158
ἀδδηκώς|n159
ἀδειής|n161
ἀδελφεός|n162
ἀδευκής|n163
ἀδμής|n170
ἀδρήστεια|n175
ἀδρήστη|n176
ἀδρηστίνη|n177
ἀεί|n186
ἀείδω|n187
ἀείρω|n192
ἀεθλεύω|n181
ἀεθλοφόρος|n185
ἀεικέλιος|n189
ἀεικής|n190
ἀεικίζω|n191
ἀεικείη|n188
ἀεκήλιος|n195
ἀεκαζόμενος|n194
ἀελλής|n199
ἀελλόπος|n200
ἀελπής|n201
ἀελπτέω|n202
ἀενάων|n203
ἀεργίη|n205
ἀεργός|n206
ἀερθείς|n207
ἀερσίπος|n208
ἀεσίφρων|n211
ἀεσιφροσύνη|n210
ἀεῖσαι|n193
ἀζάλεος|n212
ἀζείδης|n213
ἀζηχής|n215
ἀηδών|n218
ἀηθέσσω|n219
ἀθάνατος|n226
ἀθέμιστος|n230
ἀθέσφατος|n232
ἀθήνη|n236
ἀθεεί|n228
ἀθεμίστιος|n229
ἀθερίζω|n231
ἀθηναίη|n234
ἀθηναῖος|n235
ἀθηρηλοιγός|n237
ἀθλέω|n239
ἀθλεύω|n238
ἀθλητήρ|n240
ἀθλοφόρος|n242
ἀθρέω|n244
ἀθόως|n243
ἀθύρμα|n247
ἀθύρω|n248
ἀθῆναι|n233
ἀιδρείη|n286
ἀική|n314
ἀικῶς|n315
ἀιστόω|n366
ἀκάκητα|n394
ἀκάμας|@
ἀκάματος|n398
ἀκάχοιτο|n404
ἀκέομαι|n405
ἀκέων|n410
ἀκήδεστος|n411
ἀκήλητος|n414
ἀκήν|n415
ἀκήρατος|n417
ἀκήριος1|@
ἀκήριος2|@
ἀκήριος|@
ἀκίχητος|n423
ἀκαλαρρείτης|n395
ἀκαχίζω|n402
ἀκαχείατο|n401
ἀκαχμένος|n403
ἀκερσεκόμης|n406
ἀκεσσάμενος|n408
ἀκεστός|n409
ἀκηδέω|n412
ἀκηδής|n413
ἀκηράσιος|n416
ἀκηχέδαται|n420
ἀκιδνός|n421
ἀκλεής|n424
ἀκμή|n426
ἀκμής|n429
ἀκμηνός1|n427
ἀκμηνός|n427
ἀκμόθετον|n430
ἀκοίτης|n433
ἀκομιστίη|n436
ἀκοντίζω|n437
ἀκοντιστής|n438
ἀκοντιστύς|n439
ἀκοστάω|n443
ἀκουάζομαι|n444
ἀκουή|n445
ἀκούω|n447
ἀκράαντος|n448
ἀκρίς1|n453
ἀκρίς|n453
ἀκραής|n449
ἀκρισιώνη|n455
ἀκριτόμυθος|n456
ἀκριτόφυλλος|n458
ἀκροκελαινιάω|n459
ἀκροπόλος|n464
ἀκροπόρος|n465
ἀκρόκομος|n460
ἀκρόνεως|n462
ἀκρόπολις|n463
ἀκτή1|@
ἀκτή2|@
ἀκτή|@
ἀκτήμων|n470
ἀκτίς|n471
ἀκταίη|n467
ἀκτορίδης|n472
ἀκτορίς|n473
ἀκτορίων|n474
ἀκωκή|n477
ἀκόρητος|n440
ἀλάλημαι|n481
ἀλάομαι|n486
ἀλάστωρ|n495
ἀλέασθαι|n502
ἀλέγω|n507
ἀλέη1|@
ἀλέη2|@
ἀλέη|@
ἀλέκτωρ|n519
ἀλέξανδρος|n522
ἀλέξω|n526
ἀλέομαι|n527
ἀλέω1|n532
ἀλέω|n532
ἀλήιον|n538
ἀλήιος|n539
ἀλήμεναι|n541
ἀλήμων|n542
ἀλήτης|n545
ἀλίαστος|n550
ἀλίγκιος|n551
ἀλαλητός|n482
ἀλαλκομενηίς|n484
ἀλαλύκτημαι|n485
ἀλαοσκοπίη|n488
ἀλαπάζω|n491
ἀλαπαδνός|n490
ἀλαστέω|n492
ἀλαστορίδης|n493
ἀλαωτύς|n496
ἀλαός|n487
ἀλαόω|n489
ἀλγέω|n497
ἀλδήσκω|n501
ἀλδαίνω|n500
ἀλείς|n512
ἀλείσιον|n513
ἀλείτης|n515
ἀλείφω|n517
ἀλεγίζω|n505
ἀλεγεινός|n503
ἀλεγηνορίδης|n504
ἀλεγύνω|n506
ἀλεείνω|n508
ἀλεκτρυών|n518
ἀλεξάμενος|n521
ἀλεξάνεμος|n523
ἀλεξίκακος|n525
ἀλεξητής|n524
ἀλετρίς|n530
ἀλετρεύω|n529
ἀλεωρή|n533
ἀλεύεται|n531
ἀληθής|n537
ἀληθείη|n535
ἀληθείς|n536
ἀλητεύω|n544
ἀλθαία|n546
ἀλιτήμων|n567
ἀλιταίνω|n566
ἀλιτρός|n568
ἀλκάθοος|n569
ἀλκάνδρη|n570
ἀλκή|n573
ἀλκί|n575
ἀλκίνοος|n580
ἀλκίππη|n581
ἀλκιμέδων|n576
ἀλκιμίδης|n577
ἀλκμάων|n583
ἀλκμήνη|n584
ἀλκμαίων|n582
ἀλκτήρ|n585
ἀλκυόνη|n586
ἀλκυών|n587
ἀλλά|n588
ἀλλήλων|n592
ἀλλοδαπός|n594
ἀλλοειδής|n595
ἀλλοιδής|n599
ἀλλοπρόσαλλος|n602
ἀλλοφρονέω|n608
ἀλλοῖος|n600
ἀλλόγνωτος|n593
ἀλλόθροος|n598
ἀλλότριος|n606
ἀλλύεσκεν|n610
ἀλογέω|n615
ἀλοιάω|n617
ἀλοιφή|n618
ἀλυσκάζω|n632
ἀλυσκάνω|n633
ἀλφάνω|n638
ἀλφειός|n639
ἀλφεσίβοιος|n640
ἀλφηστής|n641
ἀλωή|n644
ἀλωεύς|n643
ἀλόπη|n619
ἀλόω|n624
ἀλύβας|n630
ἀλύβη|n631
ἀλύσκω|n634
ἀλύσσω|n635
ἀλύω|n637
ἀλώμενος|n646
ἀμάθεια|n650
ἀμάρη|n659
ἀμάω1|n670
ἀμάω|n670
ἀμέγαρτος|n678
ἀμέλγω|n683
ἀμέρδω1|@
ἀμέρδω2|@
ἀμέρδω|@
ἀμέτρητος|n690
ἀμήχανος|n695
ἀμαζόνες|n649
ἀμαθύνω|n652
ἀμαιμάκετος|n653
ἀμαλδύνω|n654
ἀμαλλοδετήρ|n655
ἀμαλός|n656
ἀμαξιτός|n658
ἀμαρυγκείδης|n664
ἀμαρυγκεύς|n665
ἀμαυρός|n668
ἀμαχητί|n669
ἀμβαίνω|n671
ἀμβλήδην|n673
ἀμβολάδην|n674
ἀμβροσίη|n675
ἀμβρόσιος|n676
ἀμείβω|n679
ἀμείλικτος|n680
ἀμείλιχος|n681
ἀμείνων|n682
ἀμελέω|n684
ἀμενηνός|n686
ἀμενηνόω|n687
ἀμετροεπής|n691
ἀμητήρ|n692
ἀμηχανίη|n694
ἀμισώδαρος|n696
ἀμιτροχίτωνες|n697
ἀμιχθαλόεις|n698
ἀμμίξας|n700
ἀμμορίη|n701
ἀμνίον|n703
ἀμνισός|n704
ἀμογητί|n705
ἀμοιβάς|n707
ἀμοιβή|n708
ἀμοιβηδίς|n709
ἀμοιβός|n710
ἀμολγός|n711
ἀμοπάων|n712
ἀμπ|n715
ἀμπέχω|n720
ἀμπήδησε|n721
ἀμπελόεις|n716
ἀμπεπαλών|n718
ἀμπερές|n719
ἀμπνεῦσαι|n722
ἀμυδίς|n724
ἀμυδών|n725
ἀμυθάων|n726
ἀμφάδιος|n736
ἀμφέπω|n742
ἀμφέρχομαι|n743
ἀμφέχανε|n744
ἀμφέχυτ̓|n745
ἀμφήκης|n746
ἀμφήλυθε|n747
ἀμφήριστος|n749
ἀμφί|n750
ἀμφίαλος|@
ἀμφίβασις|n757
ἀμφίβροτος|n758
ἀμφίγυος|n761
ἀμφίδασυς|n764
ἀμφίδρυφος|n767
ἀμφίδυμος|n768
ἀμφίθετος|n775
ἀμφίκομος|n782
ἀμφίλοχος|n785
ἀμφίμαχος|n789
ἀμφίνομος|n795
ἀμφίπολος|n805
ἀμφίρυτος|n808
ἀμφίς|n809
ἀμφίστημι|n810
ἀμφίφαλος|n817
ἀμφίχυτος|n823
ἀμφίων|n824
ἀμφαγαπάζω|n733
ἀμφαγείρομαι|n734
ἀμφαδίην|n735
ἀμφαδόν|n737
ἀμφαραβέω|n738
ἀμφασίη|n739
ἀμφαφάω|n740
ἀμφεποτᾶτο|n741
ἀμφηρεφής|n748
ἀμφιάραος|n753
ἀμφιάχω|n754
ἀμφιέλισσα|n769
ἀμφιέπω|n771
ἀμφιβάλλω|n756
ἀμφιβαίνω|n755
ἀμφιγένεια|n759
ἀμφιγυήεις|n760
ἀμφιδάμας|n763
ἀμφιδαίω|n762
ἀμφιδινέω|n765
ἀμφιδρυφής|n766
ἀμφιεννῦμι|n770
ἀμφιζάνω|n772
ἀμφιθέη|n774
ἀμφιθέω|n776
ἀμφιθαλής|n773
ἀμφιθόη|n777
ἀμφικαλύπτω|n778
ἀμφικαρής|n779
ἀμφικεάζω|n780
ἀμφικύπελλον|n783
ἀμφιλαχαίνω|n784
ἀμφιλύκη|n786
ἀμφιμάχομαι|n788
ἀμφιμέδων|n790
ἀμφιμέλας|n791
ἀμφιμαίομαι|n787
ἀμφιμυκάομαι|n792
ἀμφινέμομαι|n793
ἀμφινόμη|n794
ἀμφιξέω|n796
ἀμφιπέλομαι|n798
ἀμφιπένομαι|n799
ἀμφιπίπτω|n803
ἀμφιπερί|n800
ἀμφιπεριστέφω|n801
ἀμφιπεριστρωφάω|n802
ἀμφιπολεύω|n804
ἀμφιπονέομαι|n806
ἀμφιποτάομαι|n807
ἀμφιστρατάομαι|n811
ἀμφιστρεφής|n812
ἀμφιτίθημι|n813
ἀμφιτρίτη|n814
ἀμφιτρομέω|n815
ἀμφιτρύων|n816
ἀμφιφοβέω|n818
ἀμφιφορεύς|n819
ἀμφιχέομαι|n821
ἀμφιχαίνω|n820
ἀμφιχυθείς|n822
ἀμφοτέρωθεν|n827
ἀμφοτέρωσε|n828
ἀμφουδίς|n829
ἀμφράσσαιτο|n830
ἀμφότερος|@
ἀμύκλαι|n727
ἀμύμων|n728
ἀμύντωρ|n729
ἀμύνω|n731
ἀμύσσω|n732
ἀν2|n833
ἀν|n833
ἀνά|n835
ἀνάβλησις|n842
ἀνάγκη|n848
ἀνάγω|n850
ἀνάεδνος|n856
ἀνάθημα|n859
ἀνάπνευσις|n905
ἀνάποινος|n907
ἀνάπτω|n909
ἀνάπυστος|n910
ἀνάρσιος|n916
ἀνάσσω|n921
ἀνέγνω|n961
ἀνέδραμον|n963
ἀνέεδνος|n964
ἀνέλκω|n973
ἀνέπαλτο|n981
ἀνέρχομαι|n983
ἀνέσαιμι|n985
ἀνέσσυτο|n987
ἀνέστιος|n988
ἀνέφελος|n991
ἀνέχω|n992
ἀνήγαγον|n995
ἀνήιον|n997
ἀνήκεστος|n998
ἀνήμελκτος|n1000
ἀνήνοθεν|n1001
ἀνήνυστος|n1002
ἀνήνωρ|n1003
ἀνήρ|n1004
ἀνήροτος|n1005
ἀνήφθω|n1006
ἀνήῃ|n996
ἀνίη|n1024
ἀνίημι|n1026
ἀνίστημι|n1030
ἀνίσχω|n1031
ἀναίμων|n863
ἀναίνομαι|n865
ἀναίσσω|n867
ἀναίτιος|n868
ἀναβάλλω|n839
